Episode,Score,Move count,Highest tile,Final grid
40334,15696,924,1024,"[[   2    4    8    2]
 [  16  512  256   64]
 [1024   64   16    2]
 [  32    2    4   16]]"
34296,15692,914,1024,"[[ 512 1024   64   32]
 [ 256   64   32    8]
 [   4   16    8    4]
 [   2    8    4    2]]"
20026,15688,914,1024,"[[   2    4  512    4]
 [  64 1024   64   32]
 [   8  256   32    8]
 [   4   16    4    2]]"
41286,15688,913,1024,"[[ 512   32    4    2]
 [   4  256   64    8]
 [1024   64   32   16]
 [   8    4    8    4]]"
12745,15676,900,1024,"[[   2 1024    4    2]
 [ 128  256  512    8]
 [   2    4    8    4]
 [   8    2   32    8]]"
36773,15660,915,1024,"[[   4  512    4 1024]
 [  32   64  256    2]
 [  16    8   16   64]
 [   2   16    4    2]]"
36948,15648,896,1024,"[[   4  512  256   16]
 [1024  128   16    8]
 [   8   16    8    4]
 [   4    2    4    2]]"
37808,15644,911,1024,"[[  16    2  256   16]
 [1024  512   64    4]
 [   4   64   32   16]
 [   2    4    8    2]]"
38466,15644,889,1024,"[[1024  128    4    2]
 [  32    8  256  512]
 [   8    4    2   16]
 [   4    2    4    2]]"
14277,15640,917,1024,"[[   2 1024  512    2]
 [   8   64  256    8]
 [   2    8   64   32]
 [   8    4    2   16]]"
36123,15632,913,1024,"[[   2    4  256  512]
 [   4   32   16   64]
 [1024   64    4    2]
 [   2    8    2   16]]"
39308,15612,912,1024,"[[1024  512  256   64]
 [   8   64   32    8]
 [   4   16    4    2]
 [   2    4    2    4]]"
12927,15608,911,1024,"[[   4   64    2   16]
 [   2  256    8    2]
 [1024  512   32   64]
 [   4    8    2    4]]"
40729,15604,910,1024,"[[   2    8 1024    2]
 [  32    4   64  512]
 [   4    2  256    2]
 [  16    8    2   64]]"
36782,15592,914,1024,"[[   2 1024    4   64]
 [  16   64  512   16]
 [   4   16  256    8]
 [   2    8    4    2]]"
37699,15592,909,1024,"[[   2    4  512    4]
 [1024   64    4   64]
 [   2   32  256    4]
 [   4    2   16    2]]"
36465,15580,911,1024,"[[   2 1024    2  256]
 [   4    8  512   64]
 [  16   64    8   16]
 [   2   16    2    4]]"
27914,15564,915,1024,"[[  32  512  256    2]
 [   8 1024   64   32]
 [   4   32   16    4]
 [   2    4    8    2]]"
27148,15548,910,1024,"[[   2 1024  512  256]
 [  32   64   32    2]
 [   8   16    8   32]
 [   2    8    2    4]]"
28659,15544,894,1024,"[[   8 1024  512   64]
 [   2  256   32    8]
 [  64   16    8    2]
 [   2    4    2    4]]"
37624,15540,921,1024,"[[   2  512  128    4]
 [   4  128 1024  128]
 [  16    8   32    8]
 [   4   16    4    2]]"
38136,15528,902,1024,"[[ 512  256    4    2]
 [1024   64   16   64]
 [   8   16    4    8]
 [   2    4    8    4]]"
24528,15512,899,1024,"[[   2  512  256    2]
 [  64 1024   64   16]
 [   2    4   16    8]
 [   4    8    4    2]]"
39221,15508,912,1024,"[[1024  512   64   32]
 [ 256   32   16    8]
 [   8   16    8    4]
 [   4    2    4    2]]"
17321,15500,915,1024,"[[  32 1024  512    4]
 [   8  256   64    8]
 [   4   32   16    4]
 [   2    4    8    2]]"
40421,15500,911,1024,"[[   8  512    4   32]
 [ 256 1024   64   16]
 [   4   16   32    2]
 [   2    4    8    4]]"
24611,15492,903,1024,"[[1024    2    4   32]
 [   2  512  256    4]
 [  32   64    4    2]
 [   2   32    8    4]]"
23413,15488,907,1024,"[[   4    8  256   32]
 [1024  512   64    8]
 [  16   32   16    4]
 [   2    4    8    2]]"
26504,15484,907,1024,"[[1024  512  256    2]
 [  32   64    8   32]
 [  16    4    2   16]
 [   8    2    4    2]]"
39798,15464,901,1024,"[[   2 1024  512    4]
 [  32   64  256   32]
 [  16    8   16    4]
 [   8    4    8    2]]"
